Id,ActivityDate,Calories,WeightPounds
1503960366,2016-05-02,2004,115.96
1503960366,2016-05-03,1990,115.96
1927972279,2016-04-13,2151,294.32
2873212765,2016-04-21,1970,125.0
2873212765,2016-05-12,1431,126.32
4319703577,2016-04-17,1464,159.61
4319703577,2016-05-04,2282,159.39
4558609924,2016-04-18,2116,153.66
4558609924,2016-04-25,2225,154.98
4558609924,2016-05-01,1692,154.1
4558609924,2016-05-02,2066,152.56
4558609924,2016-05-09,2223,152.34
5577150313,2016-04-17,4552,199.96
6962181067,2016-04-12,1994,137.79
6962181067,2016-04-13,1718,136.91
6962181067,2016-04-14,1466,136.03
6962181067,2016-04-15,1756,135.58
6962181067,2016-04-16,2173,136.69
6962181067,2016-04-17,2027,135.36
6962181067,2016-04-18,2039,134.92
6962181067,2016-04-19,2046,135.36
6962181067,2016-04-20,2174,136.03
6962181067,2016-04-21,2179,135.36
6962181067,2016-04-22,2086,135.36
6962181067,2016-04-23,2571,135.58
6962181067,2016-04-24,1705,135.58
6962181067,2016-04-25,2194,136.03
6962181067,2016-04-27,2034,134.92
6962181067,2016-04-28,2182,134.92
6962181067,2016-04-29,2254,135.36
6962181067,2016-04-30,2002,134.48
6962181067,2016-05-01,1740,136.03
6962181067,2016-05-02,2162,135.58
6962181067,2016-05-03,2072,134.48
6962181067,2016-05-04,2086,134.7
6962181067,2016-05-05,2066,135.14
6962181067,2016-05-06,1850,135.58
6962181067,2016-05-07,1947,134.92
6962181067,2016-05-08,1659,134.92
6962181067,2016-05-09,2105,137.57
6962181067,2016-05-10,2361,136.91
6962181067,2016-05-11,1855,136.47
6962181067,2016-05-12,928,136.47
8877689391,2016-04-12,3921,189.16
8877689391,2016-04-13,3566,187.17
8877689391,2016-04-14,3793,186.29
8877689391,2016-04-16,4547,188.5
8877689391,2016-04-18,2761,189.16
8877689391,2016-04-19,3676,188.05
8877689391,2016-04-20,3679,187.17
8877689391,2016-04-21,3659,186.29
8877689391,2016-04-23,3891,188.5
8877689391,2016-04-24,3455,188.5
8877689391,2016-04-25,3802,188.27
8877689391,2016-04-26,2860,187.61
8877689391,2016-04-27,3808,188.27
8877689391,2016-04-28,3060,187.61
8877689391,2016-04-29,2698,187.17
8877689391,2016-04-30,4398,188.5
8877689391,2016-05-01,2786,188.05
8877689391,2016-05-03,2817,187.17
8877689391,2016-05-04,3477,186.07
8877689391,2016-05-06,4015,187.39
8877689391,2016-05-08,2847,188.27
8877689391,2016-05-09,3710,188.5
8877689391,2016-05-11,3832,188.27
8877689391,2016-05-12,1849,185.19
